,t + 1,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,100000,1,100656.44,0.26331,0.20213,0.15453,0.38004,0.0,0.0
2021-10-01,2021-10-04,100656.44,1,99405.52,0.22464,0.22092,0.15091,0.40352,0.0,0.0
2021-10-04,2021-10-05,99405.52,1,100813.38,0.19738,0.25771,0.15784,0.38707,0.0,0.0
2021-10-05,2021-10-06,100813.38,1,101678.04,0.18382,0.26757,0.1552,0.38204,0.01137,0.0
2021-10-06,2021-10-07,101678.04,1,102307.93,0.18383,0.25889,0.15942,0.37303,0.02483,0.0
2021-10-07,2021-10-08,102307.93,1,102481.53,0.19948,0.24284,0.15643,0.39051,0.01074,0.0
2021-10-08,2021-10-11,102481.53,1,101800.04,0.1949,0.2477,0.15249,0.39882,0.00609,0.0
2021-10-11,2021-10-12,101800.04,1,101028.62,0.2006,0.2379,0.15303,0.39925,0.00921,0.0
2021-10-12,2021-10-13,101028.62,1,101104.23,0.21206,0.23897,0.15323,0.35652,0.03922,0.0
2021-10-13,2021-10-14,101104.23,1,103648.68,0.22081,0.22372,0.14116,0.35826,0.05604,0.0
2021-10-14,2021-10-15,103648.68,1,103996.04,0.21176,0.23819,0.13499,0.34905,0.06601,0.0
2021-10-15,2021-10-18,103996.04,1,104771.2,0.21507,0.26271,0.09646,0.32183,0.10393,0.0
2021-10-18,2021-10-19,104771.2,1,105181.69,0.21628,0.23838,0.0904,0.32372,0.09487,0.03635
2021-10-19,2021-10-20,105181.69,1,105077.79,0.21821,0.24379,0.09889,0.31919,0.099,0.02092
2021-10-20,2021-10-21,105077.79,1,105805.56,0.21963,0.26457,0.09014,0.28565,0.12851,0.01149
2021-10-21,2021-10-22,105805.56,1,105558.79,0.24337,0.24623,0.09139,0.26362,0.14414,0.01125
2021-10-22,2021-10-25,105558.79,1,105321.67,0.25822,0.26745,0.0852,0.18059,0.20193,0.00661
2021-10-25,2021-10-26,105321.67,1,105999.1,0.23638,0.26113,0.08837,0.18789,0.18339,0.04284
2021-10-26,2021-10-27,105999.1,1,107631.48,0.23585,0.26829,0.08818,0.19935,0.18183,0.0265
2021-10-27,2021-10-28,107631.48,1,107450.96,0.23376,0.24665,0.08987,0.23283,0.18426,0.01262
2021-10-28,2021-10-29,107450.96,1,108584.91,0.17891,0.27723,0.09577,0.21152,0.21024,0.02632
2021-10-29,2021-11-01,108584.91,1,107708.57,0.17255,0.27466,0.09746,0.19376,0.23843,0.02313
2021-11-01,2021-11-02,107708.57,1,108363.41,0.17312,0.29218,0.09957,0.13965,0.28209,0.01339
2021-11-02,2021-11-03,108363.41,1,108886.58,0.17291,0.28777,0.09311,0.12647,0.30101,0.01874
2021-11-03,2021-11-04,108886.58,1,109306.67,0.1701,0.28994,0.09213,0.15694,0.27574,0.01513
2021-11-04,2021-11-05,109306.67,1,108848.52,0.18335,0.26616,0.11299,0.15381,0.26919,0.01449
2021-11-05,2021-11-08,108848.52,1,109220.37,0.20585,0.25505,0.0992,0.19133,0.24857,0.0
2021-11-08,2021-11-09,109220.37,1,109421.63,0.20249,0.26329,0.09613,0.16716,0.27094,0.0
2021-11-09,2021-11-10,109421.63,1,108983.33,0.23949,0.23951,0.094,0.18038,0.24662,0.0
2021-11-10,2021-11-11,108983.33,1,109564.36,0.25526,0.2469,0.09435,0.15956,0.24393,0.0
2021-11-11,2021-11-12,109564.36,1,110056.38,0.24821,0.24992,0.10426,0.15137,0.24625,0.0
2021-11-12,2021-11-15,110056.38,1,110510.09,0.24616,0.23735,0.10845,0.1627,0.24534,0.0
2021-11-15,2021-11-16,110510.09,1,110905.62,0.25845,0.23007,0.11161,0.16334,0.23159,0.00496
2021-11-16,2021-11-17,110905.62,1,110467.52,0.24528,0.23114,0.11594,0.13716,0.25613,0.01434
2021-11-17,2021-11-18,110467.52,1,110613.65,0.24128,0.23045,0.12801,0.14418,0.25609,0.0
2021-11-18,2021-11-19,110613.65,1,109904.8,0.22709,0.2295,0.13502,0.15985,0.24854,0.0
2021-11-19,2021-11-22,109904.8,1,109823.84,0.22671,0.21896,0.13183,0.14415,0.27835,0.0
2021-11-22,2021-11-23,109823.84,1,110428.28,0.22484,0.23761,0.13254,0.11554,0.28948,0.0
2021-11-23,2021-11-24,110428.28,1,110284.9,0.22306,0.25248,0.1327,0.1092,0.28256,0.0
2021-11-24,2021-11-26,110284.9,1,107456.46,0.20108,0.26324,0.13852,0.11281,0.28435,0.0
2021-11-26,2021-11-29,107456.46,1,108719.15,0.21288,0.24262,0.15194,0.12658,0.26599,0.0
2021-11-29,2021-11-30,108719.15,1,106649.17,0.2252,0.22721,0.14419,0.13511,0.2683,0.0
2021-11-30,2021-12-01,106649.17,1,105714.81,0.23897,0.21688,0.13772,0.11869,0.28774,0.0
2021-12-01,2021-12-02,105714.81,1,107673.23,0.2533,0.20633,0.1172,0.12217,0.301,0.0
2021-12-02,2021-12-03,107673.23,1,106322.24,0.26766,0.20632,0.12024,0.12901,0.27678,0.0
2021-12-03,2021-12-06,106322.24,1,106988.87,0.29865,0.17962,0.13029,0.18625,0.20519,0.0
2021-12-06,2021-12-07,106988.87,1,111282.06,0.30378,0.179,0.11781,0.17716,0.22225,0.0
2021-12-07,2021-12-08,111282.06,1,110518.27,0.32485,0.16877,0.10941,0.17289,0.22409,0.0
2021-12-08,2021-12-09,110518.27,1,109956.49,0.31259,0.16171,0.11329,0.20669,0.20571,0.0
2021-12-09,2021-12-10,109956.49,1,111354.2,0.29449,0.17789,0.1139,0.20869,0.20503,0.0
2021-12-10,2021-12-13,111354.2,1,110203.73,0.29071,0.1775,0.10436,0.16434,0.2631,0.0
2021-12-13,2021-12-14,110203.73,1,109178.76,0.30858,0.1598,0.11391,0.15759,0.26012,0.0
2021-12-14,2021-12-15,109178.76,1,110797.17,0.33871,0.16636,0.10998,0.1969,0.18805,0.0
