,t + 1,t + 2,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,2021-10-04,100000,2,99393.3,0.26366,0.20216,0.15389,0.3803,0.0,0.0
2021-10-04,2021-10-05,2021-10-06,99393.3,2,101660.66,0.19781,0.25774,0.15705,0.3874,0.0,0.0
2021-10-06,2021-10-07,2021-10-08,101660.66,2,102473.52,0.1839,0.25891,0.15926,0.37261,0.02531,0.0
2021-10-08,2021-10-11,2021-10-12,102473.52,2,101018.02,0.19507,0.24775,0.15204,0.39842,0.00673,0.0
2021-10-12,2021-10-13,2021-10-14,101018.02,2,103667.88,0.2118,0.23896,0.15397,0.35598,0.03928,0.0
2021-10-14,2021-10-15,2021-10-18,103667.88,2,104822.24,0.21178,0.23821,0.13497,0.34862,0.06642,0.0
2021-10-18,2021-10-19,2021-10-20,104822.24,2,105092.79,0.21624,0.23838,0.09053,0.3233,0.09519,0.03637
2021-10-20,2021-10-21,2021-10-22,105092.79,2,105583.32,0.21967,0.26454,0.09002,0.28533,0.12888,0.01156
2021-10-22,2021-10-25,2021-10-26,105583.32,2,106053.68,0.2584,0.26734,0.08513,0.18039,0.20213,0.00662
2021-10-26,2021-10-27,2021-10-28,106053.68,2,107542.9,0.23581,0.26825,0.08819,0.19914,0.18205,0.02656
2021-10-28,2021-10-29,2021-11-01,107542.9,2,107727.85,0.17893,0.2772,0.09578,0.21123,0.21048,0.02637
2021-11-01,2021-11-02,2021-11-03,107727.85,2,108917.53,0.17328,0.29473,0.09911,0.12447,0.29557,0.01284
2021-11-03,2021-11-04,2021-11-05,108917.53,2,108889.36,0.17022,0.29166,0.09182,0.1466,0.28492,0.01478
2021-11-05,2021-11-08,2021-11-09,108889.36,2,109472.08,0.20599,0.25635,0.09856,0.18291,0.2562,0.0
2021-11-09,2021-11-10,2021-11-11,109472.08,2,109612.82,0.23944,0.2404,0.09393,0.17464,0.25158,0.0
2021-11-11,2021-11-12,2021-11-15,109612.82,2,110537.44,0.24804,0.25038,0.10457,0.14823,0.24878,0.0
2021-11-15,2021-11-16,2021-11-17,110537.44,2,110525.45,0.2585,0.23005,0.11173,0.16309,0.23169,0.00495
2021-11-17,2021-11-18,2021-11-19,110525.45,2,109969.53,0.24107,0.23055,0.12821,0.14398,0.25619,0.0
2021-11-19,2021-11-22,2021-11-23,109969.53,2,110452.02,0.22656,0.21907,0.13186,0.14396,0.27855,0.0
2021-11-23,2021-11-24,2021-11-26,110452.02,2,107494.45,0.22314,0.25245,0.13268,0.10905,0.28268,0.0
2021-11-26,2021-11-29,2021-11-30,107494.45,2,106667.78,0.2129,0.24264,0.15185,0.12642,0.26618,0.0
2021-11-30,2021-12-01,2021-12-02,106667.78,2,107726.28,0.24057,0.2165,0.13936,0.12588,0.27769,0.0
2021-12-02,2021-12-03,2021-12-06,107726.28,2,107070.36,0.2689,0.20593,0.12209,0.13486,0.26822,0.0
2021-12-06,2021-12-07,2021-12-08,107070.36,2,110579.66,0.30376,0.17906,0.1177,0.17696,0.22252,0.0
2021-12-08,2021-12-09,2021-12-10,110579.66,2,111456.72,0.31365,0.16131,0.11298,0.20631,0.20575,0.0
2021-12-10,2021-12-13,2021-12-14,111456.72,2,109303.33,0.29328,0.17638,0.10398,0.16391,0.26245,0.0
2021-12-14,2021-12-15,2021-12-16,109303.33,2,109960.81,0.32433,0.17299,0.11256,0.19821,0.19191,0.0
2021-12-16,2021-12-17,2021-12-20,109960.81,2,108104.85,0.33195,0.1847,0.13186,0.21854,0.13295,0.0
2021-12-20,2021-12-21,2021-12-22,108104.85,2,110580.73,0.35948,0.14875,0.14,0.24499,0.10678,0.0
2021-12-22,2021-12-23,2021-12-27,110580.73,2,112464.07,0.33088,0.16384,0.12775,0.21966,0.15786,0.0
2021-12-27,2021-12-28,2021-12-29,112464.07,2,113371.86,0.32237,0.16559,0.14206,0.17553,0.19445,0.0
2021-12-29,2021-12-30,2021-12-31,113371.86,2,112663.69,0.34801,0.15539,0.14477,0.1643,0.18754,0.0
