,t + 1,t + 2,t + 3,t + 4,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,100000,4,101609.83,0.26433,0.20221,0.15269,0.38077,0.0,0.0
2021-10-06,2021-10-07,2021-10-08,2021-10-11,2021-10-12,101609.83,4,100963.77,0.1845,0.25904,0.15756,0.37204,0.02686,0.0
2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,100963.77,4,104738.75,0.21126,0.23895,0.15552,0.3549,0.03936,0.0
2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,104738.75,4,105265.17,0.21621,0.23838,0.09059,0.32248,0.09591,0.03643
2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,105265.17,4,107162.32,0.2583,0.26725,0.08522,0.18001,0.20248,0.00674
2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,107162.32,4,108592.86,0.17895,0.27714,0.09588,0.21066,0.21092,0.02646
2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,108592.86,4,109097.4,0.17025,0.29155,0.09193,0.14632,0.28505,0.0149
2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,109097.4,4,110122.25,0.23938,0.23969,0.09419,0.17913,0.2476,0.0
2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,110122.25,4,109471.39,0.25837,0.2301,0.11182,0.16264,0.23203,0.00504
2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,109471.39,4,107060.04,0.2265,0.21918,0.13196,0.14355,0.27882,0.0
2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,107060.04,4,107249.15,0.21287,0.24268,0.15193,0.1261,0.26641,0.0
2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,107249.15,4,109926.2,0.26879,0.20603,0.12214,0.13447,0.26856,0.0
2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,109926.2,4,108803.53,0.30865,0.16363,0.11414,0.20632,0.20727,0.0
2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,108803.53,4,107620.3,0.33015,0.17041,0.11145,0.19716,0.19082,0.0
2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,107620.3,4,111899.28,0.35306,0.14926,0.1416,0.25963,0.09645,0.0
2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,111899.28,4,112068.45,0.32316,0.16534,0.14192,0.17508,0.1945,0.0
