,t + 1,t + 2,t + 3,t + 4,t + 5,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,100000,5,102317.93,0.26451,0.20223,0.15241,0.38085,0.0,0.0
2021-10-07,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,102317.93,5,103665.32,0.20011,0.24305,0.15461,0.38896,0.01327,0.0
2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,103665.32,5,105809.88,0.21198,0.23831,0.13444,0.3474,0.06786,0.0
2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,105809.88,5,107663.9,0.24311,0.24621,0.09173,0.26234,0.14517,0.01145
2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,107663.9,5,109590.81,0.17895,0.27711,0.09592,0.21038,0.21114,0.0265
2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,109590.81,5,109858.4,0.1832,0.2661,0.11366,0.15307,0.26933,0.01465
2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,109858.4,5,110968.15,0.24796,0.24978,0.10482,0.15192,0.24552,0.0
2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,110968.15,5,107806.53,0.22681,0.22974,0.13532,0.15897,0.24916,0.0
2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,107806.53,5,106583.92,0.21286,0.2427,0.15197,0.12595,0.26653,0.0
2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,106583.92,5,111634.93,0.29829,0.17685,0.13091,0.20574,0.18822,0.0
2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,111634.93,5,108758.27,0.27887,0.18294,0.10709,0.16443,0.26667,0.0
2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,108758.27,5,112612.2,0.33606,0.16797,0.13194,0.22434,0.1397,0.0
2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,,112612.2,4,112774.79,0.32316,0.16534,0.14192,0.17508,0.1945,0.0
