,t + 1,t + 2,t + 3,t + 4,t + 5,t + 6,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,100000,6,102447.81,0.26468,0.20226,0.15215,0.38091,0.0,0.0
2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,102447.81,6,104685.88,0.19467,0.24779,0.15337,0.39622,0.00795,0.0
2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,104685.88,6,105859.93,0.21618,0.23838,0.09065,0.32167,0.09662,0.03649
2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,105859.93,6,108708.28,0.23566,0.26808,0.08836,0.19829,0.18286,0.02675
2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,108708.28,6,109376.21,0.17029,0.29144,0.09204,0.14604,0.28519,0.01501
2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,109376.21,6,109652.46,0.2479,0.25138,0.10454,0.14145,0.25473,0.0
2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,2021-11-29,2021-11-30,109652.46,6,106480.35,0.22645,0.21928,0.13205,0.14314,0.27908,0.0
2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,106480.35,6,110008.17,0.24044,0.21666,0.13958,0.12527,0.27805,0.0
2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,110008.17,6,109478.59,0.2939,0.17031,0.11735,0.20741,0.21103,0.0
2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,109478.59,6,112002.71,0.32366,0.18848,0.13361,0.2186,0.13566,0.0
2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,,,112002.71,4,112171.87,0.32316,0.16534,0.14192,0.17508,0.1945,0.0
