,t + 1,t + 2,t + 3,t + 4,t + 5,t + 6,t + 7,Initial Balance,Lag Time,Final Balance,AZO,BAC,DPZ,GOOGL,MSFT,TGT
2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-11,100000,7,101794.76,0.26531,0.20228,0.15096,0.38146,0.0,0.0
2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,101794.76,7,104929.47,0.20039,0.23809,0.15376,0.39622,0.01154,0.0
2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,104929.47,7,108535.16,0.2196,0.26438,0.09019,0.28362,0.13038,0.01183
2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,108535.16,7,109490.25,0.17258,0.27443,0.09795,0.19256,0.23907,0.02341
2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,109490.25,7,110668.35,0.23929,0.23859,0.0946,0.1861,0.24142,0.0
2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-26,2021-11-29,2021-11-30,110668.35,7,106717.05,0.22676,0.22982,0.13541,0.15853,0.24948,0.0
2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,106717.05,7,109783.66,0.23907,0.21709,0.13812,0.11922,0.28651,0.0
2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,109783.66,7,107762.93,0.28095,0.18422,0.11688,0.20857,0.20938,0.0
2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-27,2021-12-28,2021-12-29,2021-12-30,107762.93,7,112162.11,0.35906,0.14416,0.14067,0.27412,0.082,0.0
2021-12-30,2021-12-31,,,,,,,112162.11,1,112194.7,0.34397,0.15871,0.14494,0.17254,0.17984,0.0
